Display Name,Volume_OCID,Size (in GB),Lifecycle State,Instance Name
DRCV-DB-2.9,ocid1.volume.oc1.iad.abuwcljt74iqpmzci7zshtbwdtlchk2uvue5ylt6jwiguevhwgdltbfhrdia,400,AVAILABLE,
DRYAS-APP-1.40,ocid1.volume.oc1.iad.abuwcljtyr7hrlywtm475muwto6xyviukswpnxdwjdcqh7y4zauo7evybmyq,150,AVAILABLE,
DRRCCL-DB-1.81,ocid1.volume.oc1.iad.abuwcljth2fcy44sj3bkalancqv5kxml7tmjwkomlu42dhqe5pisvmnv24nq,600,AVAILABLE,
DRVH-CMS-4.227,ocid1.volume.oc1.iad.abuwcljtftdsvpqfkcbncnzp3lx77bqw4l6w4mm5rdrt2ywbesk25tyhetla,298,AVAILABLE,
DRVH-COMMON-3.125,ocid1.volume.oc1.iad.abuwcljtkvxnmcpodcgp5xh7auhibtjh4n5zlsn7ynaz5iaeiegxw4lzk5sa,50,AVAILABLE,
DR-TRITIUM-DB-4.209,ocid1.volume.oc1.iad.abuwcljtbewm52hbc5d3hdl42s3odnt4uowxourxym3zt7jzpf5vmc3s74wa,500,AVAILABLE,
bookstack_1_volume0,ocid1.volume.oc1.iad.abuwcljt6mykk5f7zzmmenrfvnxratmmrmgyysafilvcdqeluvxtmo34vxsq,100,AVAILABLE,
GITLAB_BACKUPS-2.30,ocid1.volume.oc1.iad.abuwcljt7a6i4aq7g2ndwyzfjvd4a3wkjkoz3tiun4ifu5urffn5av5vxqpq,2046,AVAILABLE,
da-ota-redis-01,ocid1.volume.oc1.iad.abuwcljtts7wwgitwb6tlh6ymlaagnx7dezhuyp2damwfj3reu5qbtzrpcma,100,AVAILABLE,
da-ota-redis-02,ocid1.volume.oc1.iad.abuwcljtdaudcy6msgm7vammy26etr2df2ogiuibtrl7ipqgk7vx2xxwxecq,100,AVAILABLE,
Testlink_Block_Volume_Clone_23.05.06,ocid1.volume.oc1.iad.abuwcljtrgauflsx2n235wrk2ok5nayjx5bvwd7tdeqmgbuyahtcv5zyhcrq,196,AVAILABLE,
drvh-purple-app-2.117,ocid1.volume.oc1.iad.abuwcljte4i6tadyrku7wcjej56v7r6cfptz3ojfuqln6nsdf36aj5ln4pbq,250,AVAILABLE,
drvh-light-fe-3.57,ocid1.volume.oc1.iad.abuwcljt7ozpq3ef5e3gumn2hj7iptbf3cryh3bxe2nrs2wnyr543cobxpfa,250,AVAILABLE,
drvh-light-be-4.182,ocid1.volume.oc1.iad.abuwcljtnyz3jokhs5agk22nmmjyigmn5vql5xgfxq7lzpg63c3g5y2j3vma,150,AVAILABLE,
DRCOMMON-NPM-2.186,ocid1.volume.oc1.iad.abuwcljtc2n6biof5sy6rymt6gopf6x3ieede3vrgpvqxwa7oyekko5r6gwq,250,AVAILABLE,
